Trudeau	May	Mulcair	Harper
140.308119	241.23093	117.453456	68.597561
138.672392	195.315253	117.494926	68.630177
137.095134	196.521798	118.12507	68.663534
135.579399	195.666696	119.541025	76.093043
132.68156	202.348474	121.268513	75.764199
130.412747	206.184932	122.695729	119.918778
129.249676	206.555438	123.981875	119.719441
125.078199	227.993305	124.960039	120.131165
121.511325	227.127161	128.417738	118.990163
119.514189	228.397181	129.997156	117.895643
118.117075	228.835548	133.832137	115.873449
115.830308	228.284945	137.34073	114.076668
114.60455	228.754796	138.037509	113.194903
113.2456	228.935394	138.445137	112.264835
113.064163	230.734956	137.555955	111.790344
113.035199	232.698473	136.448304	110.749192
113.418232	234.470358	135.645301	110.27453
113.669627	236.200007	134.413351	109.06056
113.672694	237.896558	133.586013	108.541201
113.644763	240.651333	133.423477	106.437559
112.795669	243.086472	133.248182	105.852131
112.597691	245.629935	133.030616	104.620246
110.997509	247.594119	132.839446	103.841002
110.848502	250.859285	133.06827	103.124115
108.496382	254.592758	133.231623	102.355037
103.775126	257.623693	133.521677	101.632778
101.289927	261.510815	134.444357	100.875343
158.562834	266.431881	135.000734	100.368198
132.731546	269.609269	135.447758	99.972141
131.978675	271.911751	136.302035	99.600465
129.328326	273.721899	136.495229	98.999569
127.088256	274.638418	136.417417	98.641861
125.949057	275.233136	136.716146	97.475096
123.944816	274.464379	136.79498	97.07453
122.454581	273.746537	136.730049	94.029236
121.058095	271.530825	137.628475	87.069936
119.441051	267.993623	138.383462	87.803045
118.843139	267.364484	137.488821	87.330639
117.455929	266.193514	138.854663	86.718586
117.169833	266.695899	159.847567	86.241571
116.023283	265.63905	145.702055	85.977772
115.644432	262.173465	144.569515	140.526715
115.058463	260.224441	138.041128	136.765588
115.021506	257.70479	134.329406	138.262306
115.099888	256.37192	133.262354	131.955721
114.34356	256.60502	130.396845	129.834428
113.949006	255.941477	127.915611	129.993738
111.724666	254.530757	123.409874	129.243645
111.073164	252.556772	120.555636	128.803263
108.223863	250.631501	118.917248	127.190879
107.082343	247.540217	115.693706	125.041132
103.295567	241.090385	114.642357	123.696292
113.103277	232.842223	113.259857	122.164223
112.54392	225.219952	112.419302	120.526379
113.171677	219.33088	111.602758	118.115261
114.204571	213.736223	110.743417	116.081807
114.765074	207.073207	110.467887	113.416384
114.151907	202.086531	109.883998	111.828575
114.197538	195.98672	109.741056	109.842555
112.146886	191.596958	109.094481	108.232947
111.87568	186.644158	108.813253	106.5329
109.708751	182.281618	108.008964	104.828175
109.521007	177.603167	107.877333	104.171347
107.521368	174.816028	107.48363	103.458454
106.286737	173.140557	107.255993	103.142976
105.456643	171.180124	107.134479	102.302714
104.000761	171.407861	107.130396	102.088229
101.122967	177.957691	107.148584	101.896711
99.887034	178.223177	107.56663	101.850139
97.206668	177.430709	107.630906	101.746722
94.321545	182.276956	108.098855	101.889143
92.895359	183.407436	108.157588	101.586404
159.306129	191.618077	108.637637	101.86519
159.994995	191.867304	108.725122	101.701552
123.756534	197.082311	108.77458	102.233509
122.865346	197.909125	108.742419	103.876034
123.11609	199.928218	108.399821	104.408101
118.846341	201.109111	108.004191	104.886877
118.197044	202.529058	107.384011	105.949578
115.070339	203.953959	105.972541	106.590788
114.309953	205.507825	104.212	108.211194
112.613729	206.618873	102.13867	108.858442
111.917068	207.660773	97.18257	112.715831
111.107499	208.938145	129.722815	113.282945
110.465698	210.378132	119.392429	117.272454
110.072476	212.366343	119.568902	118.946242
109.32243	213.173299	118.407402	119.43435
109.278915	213.303575	118.385472	119.896992
109.056857	213.145607	117.594779	120.151766
109.076035	212.741797	117.392036	120.949787
109.086685	212.336023	115.753663	121.308877
108.951477	211.811605	115.361326	122.320537
109.081271	210.951992	113.939762	123.353082
108.616946	209.799114	113.258801	123.445769
108.024877	208.512936	111.504876	120.765333
107.807806	206.885812	110.272134	117.802823
107.913719	205.541101	110.114075	115.598563
108.105501	204.0637	109.671029	114.169787
108.070527	204.361672	109.615401	113.828811
107.853223	201.380388	109.485453	113.309566
107.767883	197.422928	109.525487	116.568055
107.387688	193.558462	109.508234	116.659654
107.29421	189.853293	109.857277	115.350244
106.68007	185.118945	110.179672	114.934751
106.466108	180.595172	110.603278	113.716357
106.293523	178.100039	110.820809	112.962631
105.864735	174.281061	110.757	112.841788
112.618936	170.585089	110.743447	114.665599
112.115083	172.422724	110.164176	115.111566
108.478922	165.800998	109.795513	113.046421
108.378364	164.373443	109.28013	112.346574
106.88342	161.633659	109.109556	111.644295
106.844945	159.132409	108.988101	111.231079
105.699301	157.833773	109.013363	110.926591
105.618821	157.040754	109.117713	110.388416
103.720838	156.397663	109.193703	109.730177
103.580688	155.757047	109.20471	109.076523
100.844098	154.89629	109.374283	106.075465
100.632053	153.855014	109.458206	105.70541
98.060913	152.465121	109.877709	102.989481
97.856774	187.626499	110.021559	99.649677
96.972203	181.621098	110.393822	98.990138
96.908577	180.102599	110.703055	95.663965
96.835409	176.514583	110.946374	95.851588
96.821927	174.914846	112.42559	95.207901
97.097909	173.629519	112.605477	95.846425
97.100184	172.474237	114.460017	96.194885
97.159304	171.813462	115.624227	94.173014
97.005425	171.132409	116.722984	93.542854
96.746563	170.241727	117.064197	100.561723
96.716623	167.909481	117.538303	100.457442
96.913058	166.073203	118.988404	102.529638
97.100098	165.220412	120.148502	103.883293
97.377669	168.907019	121.944773	106.118303
97.49696	169.940619	122.879216	109.433467
97.57184	171.001805	124.034767	109.482889
97.846546	171.299289	125.604877	109.417541
98.079751	167.530826	127.557727	109.411578
98.521254	213.851866	128.794988	109.035068
98.83027	179.893072	130.433757	108.936173
99.365383	177.681481	132.361492	107.352042
99.461104	175.227561	133.239819	106.818203
99.916671	173.765142	134.482797	105.187344
100.122661	171.23924	135.512895	104.910186
100.40123	167.346958	136.325993	101.52283
100.715961	164.193151	136.981584	101.356301
101.007481	161.942467	137.673292	96.749129
101.284629	160.557975	137.79616	96.021674
101.501209	159.255384	138.174767	125.186588
101.942633	157.859365	138.509146	124.962883
102.086787	156.64443	138.860091	118.650744
102.265648	156.232932	139.148203	116.110354
102.513364	155.967854	139.598041	116.125597
102.454397	155.469886	140.022262	116.282507
102.672934	154.843743	140.202022	110.864534
102.71466	153.784002	140.533596	108.76964
102.955782	152.977509	140.814202	103.802295
103.405287	152.663651	140.886374	102.417756
103.789036	151.812184	140.604988	101.473766
104.352216	151.183101	140.366572	98.877222
104.060256	150.789037	140.035715	98.639641
104.222651	150.609894	139.972835	97.114979
104.604369	149.993083	140.065372	97.011547
104.767168	148.575017	140.223421	96.593278
104.736885	147.218562	140.256144	96.643031
104.586739	145.470379	140.274999	94.242815
104.408102	146.91275	140.484613	94.228493
104.167732	170.6812	140.556976	124.668573
104.265259	165.07421	140.557018	125.005913
104.375903	163.673012	140.49477	96.90431
104.371231	162.911807	140.273473	97.140042
104.412912	160.092985	139.855731	99.250024
103.433873	157.249024	138.986258	99.429532
103.08711	154.82716	137.807932	132.637569
101.577012	152.37317	137.088694	131.970335
100.629261	151.324877	137.897054	120.844614
98.805674	152.749339	138.713132	116.125634
97.985745	152.929466	139.3113	114.946682
154.210209	152.307713	139.338341	110.651892
117.333431	151.688111	139.086817	109.922947
118.466666	151.886288	138.763555	109.227856
116.805768	152.46637	138.350627	108.346018
116.301624	152.383734	137.828498	108.133759
113.626914	150.478851	137.473832	108.0081
113.086909	149.388058	137.059535	108.135026
112.679128	148.717913	136.393797	108.084898
112.494879	148.568437	135.830704	107.032804
112.296992	147.426707	135.305907	106.672735
112.045465	146.800236	134.466243	104.056168
110.008187	146.208002	133.778146	103.784942
108.996992	145.950166	133.282124	101.631669
108.046792	145.582223	133.732417	101.489093
107.116004	145.190241	134.036782	97.753178
106.68041	145.058571	133.586407	96.961289
137.086416	145.287936	131.896802	93.52332
134.566069	146.01914	129.082145	93.659748
119.496693	147.085473	127.052322	106.6455
119.289975	147.425409	125.487571	106.32247
119.642177	148.767148	124.716047	103.806266
119.119931	148.929059	123.3292	103.468843
118.755147	147.798547	122.684832	99.58127
117.803821	147.581821	121.350019	99.333563
117.140551	147.406156	120.277331	98.193814
115.70751	140.227091	119.638028	98.460601
115.200565	139.889689	119.053054	98.403511
114.698314	54.492886	118.712509	98.64284
114.941024	54.448269	118.409696	99.153973
115.499689	54.51265	118.070223	101.840354
116.370108	162.543953	117.676709	100.4563
117.544828	161.587812	117.233106	100.953373
118.92073	152.942475	116.979832	100.536015
120.234241	157.211933	116.758682	100.667779
120.869985	159.064398	116.72013	101.11473
121.391551	163.620533	116.632844	101.123248
121.68697	167.597235	116.794833	101.866736
121.800103	166.788422	116.880984	102.077442
122.41143	165.274302	117.047145	103.636987
122.719549	164.111112	117.331109	103.901396
122.522246	163.856756	117.862502	102.332555
122.347978	163.817208	118.514559	101.829564
120.350465	164.012914	119.862448	100.285844
167.555681	164.404052	120.456461	99.965976
165.849706	164.713614	120.55023	99.008495
152.848283	165.156363	120.289565	150.137134
149.631734	165.807079	119.54107	149.215043
147.368902	166.378994	117.578546	116.640623
146.348496	167.078141	112.924023	114.44697
143.391831	167.455627	109.108635	114.524974
140.826787	167.777823	108.780039	113.494857
137.938437	168.087232	108.291594	112.367608
135.986321	168.30091	106.306263	110.645661
133.075881	168.567316	106.971873	110.104512
104.881324	168.397861	104.429405	108.317286
104.090579	168.158035	103.955814	108.136922
152.349194	167.870615	100.369077	106.447216
153.108613	167.556262	99.382832	106.168641
151.494333	167.16993	150.25836	106.405834
151.698655	166.212053	150.269034	107.790215
152.804004	165.159104	124.758084	104.184883
153.892375	163.765232	121.728048	103.144057
154.974791	160.192299	121.759319	100.087797
156.052066	157.38907	118.473605	98.96828
155.188412	159.058375	118.277054	152.860141
154.350775	171.600914	114.956583	146.163694
153.404899	171.271027	113.894331	146.129526
152.721759	165.408236	111.55026	145.297449
151.676558	168.183534	110.768142	145.03468
150.977017	168.827237	109.840785	145.638483
150.275716	168.626755	108.465119	146.057372
149.90205	168.665291	107.694609	146.776068
149.5708	167.893925	106.039541	147.441406
148.538579	166.726339	105.588362	147.87021
148.544235	166.040244	104.407233	148.399411
148.606717	165.469328	104.267683	149.201081
148.603488	164.79234	103.996803	149.539599
148.583311	164.358075	103.985586	149.729237
148.490308	164.027427	104.064243	150.15762
148.263906	163.112147	104.301259	150.14815
147.211275	162.340791	104.716667	150.224501
145.833188	160.951607	105.049434	150.260921
145.226218	157.700687	105.463985	150.093606
145.686089	156.165805	105.379105	149.949318
146.888565	153.4997	105.326481	149.551482
148.543543	152.172233	104.429124	149.086225
149.037114	162.59983	103.807282	144.802507
149.07141	158.826445	103.043561	145.925191
148.781716	156.15795	103.287736	145.509036
148.018881	154.731561	105.948485	142.525036
147.597401	151.103144	107.119854	139.876699
146.52445	147.859709	106.918365	135.993755
144.757493	142.234034	106.641182	133.673771
143.59105	139.434302	106.459783	130.946044
142.947339	128.490307	106.469294	118.47289
140.976055	133.664477	106.650746	118.410423
139.246858	134.354469	106.652938	131.755928
138.03725	136.980287	106.54152	125.060914
136.213246	149.330378	106.665052	125.548657
134.586288	152.654578	107.114762	124.78481
133.398541	151.206292	109.101521	120.064721
132.144308	149.449017	111.759096	118.924274
130.480105	148.804901	110.72446	118.219794
129.1838	145.814613	111.22732	114.040762
128.402711	142.99396	110.896142	113.542731
127.488309	141.165939	110.936016	108.9046
126.573991	140.871602	111.949649	107.539001
125.317361	140.568994	112.321715	103.975289
124.522521	140.778095	113.003126	102.656486
124.03745	140.851911	113.193962	101.230189
123.02219	140.843236	113.594952	100.612739
122.458267	140.930818	113.350124	96.707312
122.663753	140.899538	112.519361	96.33282
122.862675	140.878971	114.131148	96.132398
122.868363	140.80945	115.85584	99.751176
122.41354	140.934089	120.277866	98.387495
121.779149	140.921761	121.172934	97.142933
121.341381	141.017197	121.364591	93.095658
120.75102	140.820015	121.613778	92.18198
120.473149	140.566057	122.4161	88.516393
120.106508	140.558852	122.842675	87.900759
119.737099	140.155537	123.495371	85.404873
119.18193	139.957852	123.671355	83.109557
118.684374	139.499382	123.723325	81.010293
118.090603	138.496759	123.521163	80.705828
117.762321	137.502062	122.294234	78.651464
117.268964	137.028408	120.165168	77.266817
116.614125	135.989619	117.508741	100.116234
115.889654	149.303642	115.653987	100.268593
114.515527	150.286041	110.005738	100.437884
113.832976	148.390634	108.931905	100.322106
113.290532	147.647159	105.904145	79.072361
113.025591	147.419104	123.766644	79.88646
112.673322	147.115404	123.955531	79.272419
112.703604	145.836217	116.087827	79.395301
112.636624	145.047884	115.843112	79.837395
112.601801	141.554671	112.226646	79.330278
112.703812	140.475892	111.219204	76.932965
112.569649	139.456512	109.055438	76.803893
112.447206	138.412623	108.256582	76.128622
112.36504	136.885207	105.869082	75.75012
112.132531	135.909041	104.50169	75.852372
111.759538	135.03662	103.502578	75.927839
111.437734	133.657985	102.06523	76.082629
111.207365	132.588955	101.35942	76.085416
110.488149	132.169879	99.962033	76.003985
110.25658	131.900516	99.187071	75.943909
108.194709	131.563214	97.918755	75.720437
107.140938	131.420311	97.475813	74.93794
104.28532	131.605682	97.090056	74.495275
104.064621	132.074054	96.822267	73.945394
132.701893	132.176352	96.541695	71.273655
132.880689	132.314294	96.464844	71.242053
135.895696	132.434311	96.330855	118.004601
133.447081	132.363633	96.23164	116.547678
133.755406	132.090859	96.069257	116.786184
132.443458	132.377262	95.55809	116.106416
129.856329	131.732594	95.543606	115.519679
127.63452	131.179923	94.957325	115.982734
124.607854	72.561889	94.865707	116.794467
122.373071	73.188291	94.19469	117.321208
119.26229	72.578844	94.161249	118.201704
117.78991	148.749026	93.5513	119.066381
116.79731	148.363201	93.522852	120.250709
116.027485	148.332419	92.998044	121.584087
115.577745	147.128799	92.927711	122.585642
114.887703	146.086196	92.361233	123.160235
114.698378	145.517727	92.21729	123.759403
114.495334	145.237078	91.699327	123.548736
114.353329	144.751407	91.412165	123.87874
114.229271	143.811681	90.954779	124.405622
114.242886	142.46566	91.35574	124.458779
114.136212	140.704147	91.35066	124.875462
114.551213	138.598248	93.951665	125.194396
114.907222	137.697532	94.352045	125.391231
115.374463	137.878643	96.438542	125.419526
115.857254	138.487905	96.751198	125.986086
116.188661	139.361049	97.353382	125.495528
116.35078	139.441172	97.515902	125.385046
116.635439	139.364353	97.929319	125.416752
114.019837	138.700448	98.010793	125.006994
125.44442	136.195252	98.106364	124.821545
125.184234	134.475155	98.150293	124.166954
128.852721	133.788147	97.97356	123.696145
128.737627	134.154473	97.996469	121.990776
129.220511	134.30214	97.290879	120.513321
128.792114	197.863939	96.923713	118.776277
127.845837	188.584803	96.428694	118.036657
127.144437	181.709874	95.119671	116.669249
126.506302	174.430311	94.739879	113.929192
125.760644	170.400745	122.000839	104.886378
124.606998	167.09842	130.14229	107.078988
121.803308	161.70705	114.194023	104.850902
117.885434	157.096586	114.388292	101.997784
114.982692	153.190086	110.002851	97.614724
109.376464	151.502173	110.05597	96.080573
123.733747	150.738419	109.079963	97.7816
122.793477	149.430413	109.099333	97.921415
122.863611	149.115324	105.378493	95.678134
120.968376	149.267522	100.207777	95.05967
119.0647	149.346327	96.774139	92.498712
151.918393	150.60839	97.346179	90.975132
150.630642	148.805763	98.300709	98.327393
148.929494	147.965354	98.234522	98.83762
147.590924	145.810577	98.15199	100.082061
145.830422	120.802012	98.142762	100.398868
144.089575	128.758762	98.634618	90.973273
143.098112	134.625591	99.129242	90.81118
141.206472	140.125959	101.938556	90.643481
139.842728	145.58957	102.442373	90.611072
138.806983	149.603426	102.97872	90.633729
138.035258	151.929867	103.00858	90.409484
137.065177	152.792056	103.372327	87.488776
136.475971	155.061041	103.346325	87.531514
135.91451	154.776669	104.204938	92.539173
135.731318	152.050813	105.699158	92.968275
135.591628	151.546841	106.772843	97.439537
135.714826	150.437936	107.468357	103.608725
136.501247	146.202087	108.44856	103.862101
136.728478	145.357529	108.976682	108.600857
136.559233	145.09113	109.182649	110.858791
136.72778	142.249238	109.161933	111.937768
136.819191	142.051921	109.089527	111.498601
136.821502	197.347575	109.090029	111.691517
136.572572	163.6964	109.089181	110.659782
135.443218	165.687988	109.171775	110.304194
132.988377	160.997343	109.345829	109.172872
131.859865	158.003284	109.903142	108.706615
183.257104	153.277246	110.627417	107.709399
131.513501	151.394919	111.260049	106.757888
132.194274	150.585063	111.50538	105.709926
130.809823	149.471993	111.550379	104.890549
130.657114	149.085799	111.268013	103.258437
125.834563	149.000649	111.17868	102.527014
121.740239	148.854002	110.61709	100.001395
119.050886	148.375445	110.48866	99.450622
118.612648	146.245022	109.648376	97.22484
119.097082	145.19251	108.922766	96.567591
119.797373	142.871374	105.173559	95.674022
120.165147	140.683375	104.182413	95.571882
118.430273	140.235211	101.720331	95.760519
117.804289	140.132398	101.200696	95.781156
116.345149	141.032512	101.231717	95.229549
114.14703	142.174209	101.227231	95.455035
110.84819	142.430184	103.396742	92.867556
110.576223	142.517117	105.612892	92.647803
106.71089	141.417676	108.165063	95.666493
106.79758	147.634232	109.047733	94.992193
102.192022	154.44379	109.728324	120.25785
102.139808	156.606387	109.741044	121.238605
133.906542	158.399228	109.595264	113.031926
130.659405	158.236649	108.61408	112.702575
120.982615	161.064886	107.756468	110.62818
118.84508	163.036714	106.542609	110.408356
117.286501	156.878158	105.606655	106.243918
115.551107	152.46305	104.597883	106.218914
114.207293	142.661689	104.075155	104.944767
109.960708	142.294234	103.282961	104.904276
109.1759	142.225657	102.877856	100.419497
103.767336	141.08249	102.493781	100.212034
104.078471	139.911026	102.043374	99.405886
122.009862	141.503832	101.888264	99.145335
122.02171	138.247927	101.757942	96.49446
122.224841	139.386622	101.626832	96.339992
121.979466	140.14263	100.832982	94.852138
121.926008	139.036913	99.948094	94.787562
121.825151	140.314449	98.910106	93.054997
121.630999	140.638154	97.399119	91.619614
121.469092	141.195172	96.618437	90.226099
121.659003	142.526843	96.365445	90.099886
121.678828	142.6463	95.877731	90.509222
121.681015	142.910766	95.374618	90.775106
121.769996	143.101388	94.495389	90.806311
121.406383	140.979338	93.23891	90.635964
121.172181	178.529449	93.105258	90.655873
121.005759	181.004776	94.326351	89.992847
121.030164	164.495468	94.867462	89.859312
121.139078	158.222147	95.10174	88.885962
121.108326	153.239415	95.289993	88.877217
121.292625	150.943255	94.224921	88.964914
121.295544	148.091802	93.874973	88.584727
120.835432	145.779902	92.919675	88.526653
120.917277	148.480041	91.91006	87.57737
119.633259	148.69891	91.223696	87.416692
118.844392	148.120429	91.239494	86.004604
117.436531	148.532594	92.862713	85.750149
136.589653	148.424415	93.560173	84.863423
136.720251	147.979233	93.481086	84.46416
134.665713	147.590679	93.208094	83.885178
131.516043	147.400635	93.454756	83.062859
129.890921	147.467203	94.408661	82.939739
126.131974	147.841516	94.561997	82.41716
123.63332	148.160604	95.608594	82.384423
121.442833	148.854759	98.02183	82.691379
119.337663	151.349215	100.589007	81.600193
117.657665	152.999664	101.060349	82.175103
115.646777	153.902239	104.918164	82.786777
114.358544	151.995488	105.095475	82.766422
110.584562	150.69113	108.540551	83.078412
110.090828	150.52234	109.258815	83.417348
107.740914	149.346728	111.81493	83.402135
101.550626	149.962229	114.338458	83.711803
101.046017	153.589639	115.008803	83.887931
97.235571	155.186465	116.053575	84.53603
96.591726	156.870532	116.130895	84.873698
97.685963	157.712983	116.378663	85.418762
100.214651	164.257871	116.261861	85.333693
101.256343	164.669498	115.848837	85.28816
102.368241	166.999019	115.497871	85.293292
106.688042	154.322949	114.872178	85.286599
107.254374	145.853344	114.256109	85.31005
111.446103	143.040489	113.893836	85.250018
112.250146	142.947423	112.650329	85.14571
114.006894	140.318826	112.259411	84.805215
114.35345	139.00762	110.653833	84.770367
114.880056	138.417858	109.988143	84.712168
114.657543	137.283548	101.902201	84.686949
113.82389	135.237542	101.48748	84.603021
112.72079	133.86038	132.603838	84.199818
111.099815	133.188834	132.864488	83.790802
109.075103	131.069155	99.856005	83.492722
107.738241	129.175481	99.580759	83.508693
105.309156	128.934665	95.089888	83.388498
103.338264	127.755359	94.661746	83.293876
100.639955	125.668169	88.466377	83.236562
99.691465	126.412779	86.161753	83.317507
138.743561	127.859892	83.733596	83.312009
141.160703	129.31634	81.010179	83.631733
122.285738	131.059335	79.822203	83.5622
122.018525	132.202289	77.960685	83.628095
120.032443	134.571656	77.94208	83.182933
118.861645	138.262214	77.701389	81.580438
115.764141	142.041964	77.671392	105.742865
115.14287	144.509002	77.58919	106.043641
114.473452	148.111966	77.611821	86.957666
114.244249	151.069227	77.647295	87.322353
114.010474	154.372652	77.653505	87.611321
113.726822	157.928819	76.126862	87.599887
113.416812	161.554747	76.28448	87.191864
112.953184	162.773953	76.275316	86.254179
112.477227	162.673284	76.280176	85.793809
112.080291	162.952242	76.216622	84.921703
111.700413	163.534566	76.130472	84.709338
111.127612	164.241295	78.020455	95.964989
110.149156	164.62175	78.287491	95.944037
109.806744	163.825484	78.446599	95.659151
109.40042	164.268196	78.727344	95.604223
106.081668	164.644072	79.042898	95.228949
105.211723	165.659462	79.230812	95.154201
104.44372	170.636292	79.578604	95.781737
133.949044	170.244856	79.29336	96.268171
133.094672	170.459487	79.003036	96.863344
132.510735	170.529197	78.772331	96.742009
131.616568	169.635054	78.765073	96.59947
130.504173	168.903735	77.16793	96.777301
129.17098	167.543215	74.929009	97.092544
128.0572	165.940686	72.517872	97.227156
125.085178	165.011817	72.553632	97.230093
124.069172	163.683755	72.588563	96.992377
110.208965	162.611534	74.953087	96.594417
110.825217	161.724225	75.003567	96.049506
113.208571	158.337925	75.23888	95.70691
118.274199	156.727508	76.050291	94.846746
120.879756	173.894202	79.2469	94.17838
122.238445	137.300382	82.442248	144.588216
124.407744	137.958794	85.969754	144.118927
125.067688	134.308339	85.951164	140.004633
125.920579	130.056569	86.686344	140.637486
125.616419	129.817373	90.606278	140.619942
123.968292	129.543012	90.862456	140.660433
123.162901	131.033332	93.418972	141.612219
122.716726	132.140419	93.557335	142.65347
119.461582	134.456023	95.975707	143.093156
119.038001	135.545098	96.034873	143.654145
118.035236	137.18908	98.874856	143.451925
145.496623	139.030243	98.936453	143.109034
148.253244	140.974907	101.935452	142.909094
141.384218	141.120256	101.927099	142.606031
138.85376	141.320859	102.849999	142.678378
137.608086	141.701576	102.824208	142.751488
134.974219	141.920827	100.488735	142.79735
131.252116	141.949748	100.249787	142.779311
127.657652	179.395508	97.727619	142.521377
126.43674	182.194535	97.206652	142.364486
123.542211	187.793931	94.901293	142.057315
123.141538	196.056941	94.498303	141.921522
123.336465	199.343963	92.901781	141.949341
120.627968	202.845872	92.763969	141.849319
118.740384	203.169655	92.467867	141.766728
155.200427	202.127981	92.511185	141.721158
141.738534	202.088495	92.820431	141.648436
140.933358	202.749847	93.109396	140.830543
140.42715	203.49117	93.64815	140.230747
140.052405	206.143013	94.353133	139.953835
139.372835	209.454752	94.738211	138.89713
138.859966	212.215626	95.87323	137.942115
138.182884	213.866749	96.040126	137.311606
137.614178	215.050661	97.025591	136.551081
137.174501	215.886758	97.115129	135.418492
137.190082	216.528432	98.327434	134.891615
136.288949	217.216982	98.426856	133.944212
135.425854	217.444965	99.649428	132.42441
134.962235	217.708093	99.718843	131.548987
134.623699	217.682541	100.479972	130.443955
134.297926	216.867646	100.519836	129.145474
133.201266	215.801053	101.114471	127.303832
133.326771	214.283454	101.154334	126.678945
132.63539	212.72113	101.556639	125.270147
133.267349	210.301848	101.585225	121.786834
134.245128	207.657987	101.377159	120.904468
133.952924	203.920186	101.342092	120.392251
133.60524	199.587029	100.300727	116.526917
133.011888	196.800536	100.168303	116.186653
132.417925	195.215217	99.43102	112.989374
131.810543	194.64404	99.342057	112.704551
131.380436	193.365749	98.403514	99.219329
131.199422	191.623154	98.249913	98.732724
131.548871	188.503532	97.045029	99.915763
133.391588	185.472374	96.962476	100.122737
133.01075	182.301526	96.595789	100.453907
133.01781	179.25309	96.59523	99.811327
130.783861	176.477744	96.681717	100.238578
128.521938	173.926855	96.69583	99.019234
127.363566	171.04885	96.302889	65.941261
126.382999	168.815427	96.216363	67.253332
125.810016	166.364536	95.979585	72.545269
125.432824	164.441756	95.931602	72.811615
125.065241	162.474869	96.442438	72.810602
124.639536	161.410598	96.546688	72.912752
124.206688	144.72709	96.777227	86.784325
123.939211	161.035328	96.982301	86.772728
123.602882	154.47099	97.494813	84.720721
123.642531	156.005984	97.698709	84.552116
123.715746	157.815965	98.220612	84.405281
124.002764	154.835116	98.421213	89.886199
124.4373	162.85733	99.124965	89.908232
124.976173	155.238904	99.605922	90.18656
125.856336	153.228732	100.040484	90.28007
126.763331	152.998394	100.344836	89.971165
127.81394	151.711815	99.719081	89.928398
127.923715	151.09317	99.493463	88.677589
127.912641	150.089933	99.287838	87.730484
128.171078	148.860988	99.296434	85.790104
127.073195	147.978166	99.198726	84.783664
118.813795	146.800486	99.154134	83.93227
119.034705	144.729341	98.330528	83.128728
86.378551	141.310558	98.10352	82.884289
86.5888	230.082466	97.127424	82.516624
137.167724	214.370769	96.525032	82.103049
136.021021	209.453133	95.079291	81.874093
135.331653	207.578982	94.56362	81.798844
133.668049	204.861448	94.222639	81.74218
131.30998	201.513172	94.223047	81.938729
128.11464	196.870793	94.54385	81.667208
125.6154	193.03986	96.596262	81.447492
122.898387	190.076978	96.628594	81.132061
121.498313	187.780394	99.682461	80.557645
120.636055	185.511827	100.474148	80.063184
120.649779	183.527487	101.544491	79.788921
120.93226	181.662452	102.007985	99.497314
121.560104	179.928266	101.512787	99.860621
121.846622	178.194516	101.509053	113.469717
122.671645	176.382838	100.46387	113.830735
123.126723	175.287644	100.388832	113.043978
122.891855	173.950143	99.908482	112.752061
122.502221	172.604259	99.97686	110.69282
122.880405	170.960363	100.208172	110.391991
123.122186	170.036256	100.276668	108.871867
123.104634	169.192205	100.9767	108.627779
123.160193	168.366323	101.043956	108.125004
